order_id,product,purchase_time,day_of_week,quantity,price,store_id
941235,Croissant,2025-01-01 11:54:00,Wednesday,2,6.32,3
897926,Cappuccino,2025-01-01 11:31:00,Wednesday,1,4.75,4
198418,Avocado Toast,2025-01-01 09:13:00,Wednesday,1,4.94,4
899308,Espresso,2025-01-01 11:38:00,Wednesday,2,6.34,4
940775,Flat White,2025-01-01 11:46:00,Wednesday,2,3.64,1
123406,Cold Brew,2025-01-01 15:01:00,Wednesday,1,2.63,5
499721,Latte,2025-01-01 13:56:00,Wednesday,2,5.93,4
653259,Bagel,2025-01-01 09:01:00,Wednesday,1,3.61,4
344406,Chai Latte,2025-01-01 14:35:00,Wednesday,2,4.23,2
403858,Avocado Toast,2025-01-01 13:29:00,Wednesday,3,7.13,4
773494,Matcha Latte,2025-01-01 08:59:00,Wednesday,1,3.0,3
448856,Cappuccino,2025-01-01 15:47:00,Wednesday,1,6.98,5
970355,Espresso,2025-01-01 11:32:00,Wednesday,3,7.05,2
716122,Flat White,2025-01-01 11:18:00,Wednesday,3,7.37,4
717613,Matcha Latte,2025-01-01 14:25:00,Wednesday,3,6.77,4
936138,Mocha,2025-01-01 14:47:00,Wednesday,1,4.52,2
837191,Cold Brew,2025-01-01 11:35:00,Wednesday,2,6.38,3
796000,Cappuccino,2025-01-01 10:28:00,Wednesday,1,5.04,2
512357,Matcha Latte,2025-01-01 08:53:00,Wednesday,2,4.35,1
423516,Chai Latte,2025-01-01 10:02:00,Wednesday,2,6.02,5
512719,Croissant,2025-01-01 12:37:00,Wednesday,1,5.74,2
112899,Matcha Latte,2025-01-01 12:14:00,Wednesday,2,6.35,5
524101,Matcha Latte,2025-01-01 11:14:00,Wednesday,2,5.07,5
382359,Cold Brew,2025-01-01 08:29:00,Wednesday,2,5.8,5
502327,Bagel,2025-01-01 12:00:00,Wednesday,4,6.42,5
643873,Avocado Toast,2025-01-01 09:08:00,Wednesday,2,6.39,2
604471,Espresso,2025-01-01 10:03:00,Wednesday,2,6.85,5
629237,Matcha Latte,2025-01-01 14:12:00,Wednesday,4,4.57,3
101661,Espresso,2025-01-01 11:22:00,Wednesday,1,5.19,5
447222,Avocado Toast,2025-01-01 15:39:00,Wednesday,3,4.79,1
766234,Avocado Toast,2025-01-01 12:14:00,Wednesday,1,3.39,5
196051,Americano,2025-01-01 16:55:00,Wednesday,2,6.49,3
805810,Latte,2025-01-01 11:53:00,Wednesday,1,2.85,1
890778,Chai Latte,2025-01-01 15:00:00,Wednesday,2,6.28,2
936016,Flat White,2025-01-01 12:07:00,Wednesday,1,5.62,3
